encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,encoder_block_types,decoder_block_types,latency_mean_encoder,latency_mean_decoder,latency_std_encoder,latency_std_decoder
768,6,1706.6666666666667,9.333333333333334,1024,4,2304.0,4.0,13.0,1.5,lightweight_add-->lightweight_add-->self_attention+lightweight_shiftadd-->lightweight_add-->self_attention-->self_attention+lightweight_shiftadd-->,self_attention+lightweight_shiftadd-->self_attention+lightweight_conv-->self_attention+lightweight_conv-->self_attention+lightweight_add-->,5.418176025152206,180.59142303466797,0.043277161168426545,0.19545948316830647
512,6,2218.6666666666665,8.666666666666666,512,1,2048.0,16.0,16.0,3.0,lightweight_shiftadd-->self_attention-->self_attention+lightweight_shiftadd-->self_attention-->self_attention-->self_attention+lightweight_conv-->,self_attention+lightweight_conv-->,5.465984016656876,50.415743827819824,0.005368373789131825,0.09230684374615523
1024,6,3072.0,6.666666666666667,512,6,1365.3333333333333,8.0,11.333333333333334,1.5,self_attention-->lightweight_add-->lightweight_add-->self_attention+lightweight_add-->lightweight_shiftadd-->lightweight_add-->,self_attention-->self_attention-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->self_attention-->,4.637696027755737,227.89849662780762,0.012288019062019168,0.43355253756704765
768,6,2901.3333333333335,9.333333333333334,768,4,2560.0,7.0,9.0,2.0,lightweight_shiftadd-->self_attention+lightweight_conv-->self_attention-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->,self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->self_attention-->self_attention+lightweight_add-->,6.354816019535065,169.83923244476318,0.006300591821975282,0.23296611419503727
512,6,2901.3333333333335,8.0,512,1,3072.0,16.0,16.0,3.0,self_attention+lightweight_shiftadd-->self_attention+lightweight_shiftadd-->lightweight_add-->lightweight_conv-->lightweight_shiftadd-->self_attention+lightweight_conv-->,self_attention+lightweight_shiftadd-->,5.831487953662872,57.08998346328735,0.007050156051860881,0.10700907401508754
1024,6,2560.0,10.666666666666666,512,6,2389.3333333333335,8.666666666666666,7.333333333333333,2.3333333333333335,self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->self_attention-->self_attention+lightweight_shiftadd-->lightweight_conv-->self_attention+lightweight_conv-->,self_attention-->self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->,6.330239981412888,261.67526626586914,0.017713588205585676,0.41161721863441325
1024,6,2389.3333333333335,8.666666666666666,1024,2,1536.0,10.0,6.0,3.0,self_attention+lightweight_add-->self_attention+lightweight_conv-->lightweight_shiftadd-->self_attention+lightweight_add-->self_attention-->self_attention+lightweight_conv-->,self_attention+lightweight_add-->self_attention+lightweight_add-->,6.087167948484421,93.13657665252686,0.014953585001298484,0.22228885259426548
512,6,3072.0,10.0,768,1,2048.0,8.0,4.0,1.0,self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->self_attention-->lightweight_conv-->lightweight_conv-->lightweight_shiftadd-->,self_attention-->,5.2326400578022,37.082176208496094,0.0074107414509331365,0.07652503825270707
768,6,2218.6666666666665,7.333333333333333,1024,3,1365.3333333333333,8.0,8.0,1.6666666666666667,self_attention+lightweight_conv-->lightweight_add-->lightweight_shiftadd-->self_attention+lightweight_shiftadd-->lightweight_conv-->lightweight_shiftadd-->,self_attention+lightweight_shiftadd-->self_attention+lightweight_shiftadd-->self_attention+lightweight_conv-->,5.466111987829208,146.1662721633911,0.017256808325857083,0.21623125919408684
1024,6,2730.6666666666665,10.666666666666666,512,1,1024.0,4.0,16.0,1.0,self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention+lightweight_conv-->self_attention-->self_attention+lightweight_add-->self_attention+lightweight_add-->,self_attention+lightweight_shiftadd-->,6.55756801366806,55.54809617996216,0.01084232967953238,0.13319133937933386
768,6,2730.6666666666665,10.666666666666666,1024,4,2816.0,6.0,11.0,1.5,lightweight_add-->self_attention+lightweight_add-->lightweight_shiftadd-->self_attention+lightweight_conv-->self_attention+lightweight_add-->self_attention+lightweight_add-->,self_attention-->self_attention+lightweight_add-->self_attention+lightweight_conv-->self_attention+lightweight_add-->,6.000192016363144,163.4712324142456,0.006821042820674074,0.1549587885133627
1024,6,2560.0,8.0,1024,6,1706.6666666666667,11.333333333333334,10.0,2.1666666666666665,self_attention+lightweight_conv-->lightweight_shiftadd-->lightweight_add-->lightweight_conv-->self_attention-->lightweight_shiftadd-->,self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->self_attention-->self_attention+lightweight_add-->self_attention+lightweight_add-->,4.837696015834808,262.68384170532227,0.004999818284358047,0.31893827052494356
1024,6,2048.0,4.666666666666667,512,3,2730.6666666666665,9.333333333333334,8.0,2.0,lightweight_add-->lightweight_conv-->self_attention-->self_attention+lightweight_shiftadd-->lightweight_conv-->self_attention+lightweight_conv-->,self_attention-->self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->,5.11641600728035,128.08550310134888,0.007747991445017716,0.2905433473750878
